id,own_race,rating_qualified,rating_trust,rating_appliestome,income,risk_pre,messenger_race,messenger_role,video_length,nma_treat_original,nma_treat
18197,black,6,6,6,4,1,white,doc,long,0.0,1
5465,black,6,5,1,6,0,white,doc,short,,0
7534,black,5,6,7,5,0,white,doc,short,,0
5456,black,5,5,6,5,1,black,lay,short,,0
4758,black,5,5,6,1,2,white,doc,long,,1
18170,white,5,5,5,11,5,black,doc,short,1.0,0
11539,black,5,6,6,2,0,black,lay,short,1.0,0
13598,black,5,5,6,5,0,black,doc,short,1.0,0
9501,white,6,6,6,2,7,black,doc,short,1.0,0
8224,white,6,6,6,12,5,black,doc,short,0.0,0
15245,black,1,1,1,2,10,white,doc,long,1.0,1
19956,black,5,5,5,1,0,black,lay,short,0.0,0
18988,black,5,1,1,11,1,white,doc,long,1.0,1
11505,white,6,6,6,2,1,white,doc,short,0.0,0
11491,white,7,7,7,3,10,white,doc,short,0.0,0
17693,white,4,5,6,8,0,white,doc,short,0.0,0
4819,black,1,4,4,8,0,black,lay,short,,0
4788,black,5,5,5,2,3,black,doc,short,,0
13353,black,7,7,7,1,10,white,doc,long,1.0,1
8223,white,7,6,6,10,3,black,doc,short,1.0,0
4023,white,5,6,6,5,1,white,doc,short,,0
20048,black,7,7,7,2,4,black,lay,short,0.0,0
8360,white,6,6,6,6,0,white,doc,short,1.0,0
12094,black,5,5,5,1,0,black,lay,short,0.0,0
16864,black,4,4,4,2,10,black,doc,short,1.0,0
5107,black,5,5,6,5,2,white,doc,short,,0
18656,black,5,1,1,1,0,black,doc,short,0.0,0
4710,white,1,1,1,4,0,black,doc,short,,0
11940,black,7,7,7,5,0,white,doc,long,1.0,1
18422,white,6,7,6,6,7,white,doc,short,0.0,0
8734,white,6,6,6,2,2,white,doc,short,1.0,0
13543,black,7,7,5,3,1,white,doc,long,1.0,1
8416,white,6,6,6,4,4,black,doc,short,0.0,0
16229,white,5,5,6,5,9,white,doc,short,0.0,0
14233,black,5,5,7,2,5,black,lay,short,0.0,0
17844,white,5,5,6,5,2,white,doc,short,1.0,0
4044,white,4,5,5,3,1,white,doc,short,,0
15895,black,6,6,6,1,3,black,doc,short,1.0,0
20150,black,7,7,7,2,0,black,doc,short,0.0,0
19301,white,6,5,6,5,3,black,doc,short,1.0,0
17434,white,5,5,5,1,4,black,doc,short,0.0,0
