Urban,Distance_to_pharm,income,health_overall,region,midwest,northeast,south,west,flushot_cost,health_insurance,Covid_vacc_hes,region_num,health_ins_cat,health_cat
1.0,3.0,4,2,South,0.0,0.0,1.0,0.0,30.0,2,0,1.0,No,Great
1.0,1.0,6,2,South,0.0,0.0,1.0,0.0,100.0,2,0,1.0,No,Great
1.0,3.0,5,2,South,0.0,0.0,1.0,0.0,10.0,1,0,1.0,Yes,Great
1.0,1.0,5,3,Midwest,1.0,0.0,0.0,0.0,20.0,1,2,2.0,Yes,Good
1.0,1.0,1,4,Northeast,0.0,1.0,0.0,0.0,3.0,1,2,3.0,Yes,Fine
1.0,3.0,2,3,West,0.0,0.0,0.0,1.0,0.0,1,0,4.0,Yes,Good
0.0,1.0,5,3,South,0.0,0.0,1.0,0.0,0.0,3,0,1.0,Unknown,Good
1.0,0.5,2,4,Midwest,1.0,0.0,0.0,0.0,0.0,1,7,2.0,Yes,Fine
1.0,1.0,12,2,Northeast,0.0,1.0,0.0,0.0,200.0,1,5,3.0,Yes,Great
1.0,15.0,2,1,West,0.0,0.0,0.0,1.0,25.0,1,10,4.0,Yes,Excellent
1.0,7.0,1,2,Northeast,0.0,1.0,0.0,0.0,10000.0,2,0,3.0,No,Great
1.0,10.0,11,2,South,0.0,0.0,1.0,0.0,45.0,3,5,1.0,Unknown,Great
1.0,1.0,2,3,West,0.0,0.0,0.0,1.0,50.0,1,2,4.0,Yes,Good
1.0,3.0,3,2,South,0.0,0.0,1.0,0.0,0.0,2,2,1.0,No,Great
1.0,10.0,8,3,West,0.0,0.0,0.0,1.0,0.0,1,0,4.0,Yes,Good
1.0,10.0,8,1,South,0.0,0.0,1.0,0.0,100.0,1,0,1.0,Yes,Excellent
1.0,2.0,2,3,South,0.0,0.0,1.0,0.0,30.0,1,6,1.0,Yes,Good
1.0,20.0,1,1,South,0.0,0.0,1.0,0.0,0.0,1,10,1.0,Yes,Excellent
1.0,1.0,10,3,Northeast,0.0,1.0,0.0,0.0,0.0,1,10,3.0,Yes,Good
0.0,13.0,5,3,South,0.0,0.0,1.0,0.0,5.0,1,7,1.0,Yes,Good
1.0,200.0,2,3,South,0.0,0.0,1.0,0.0,300.0,1,7,1.0,Yes,Good
1.0,100.0,6,1,West,0.0,0.0,0.0,1.0,2000.0,1,0,4.0,Yes,Excellent
