,pharmacy_lookup,sample,covid_vacc_trial,resp_black,flu_season,survey_platform,T,T_cc,T_lay,T_ackn
0,,season 2 lucid2,,1.0,1.0,Lucid,"D,AN",,,1.0
1,,season 2 lucid,,1.0,1.0,Lucid,D,0.0,,0.0
2,,season 2 lucid2,,0.0,1.0,Lucid,CC,1.0,,
3,,season 2 cloudresearch,,1.0,1.0,CloudResearch/Facebook,"D,AN",,,1.0
4,,season 2 lucid2,,1.0,1.0,Lucid,"D,AN",,,1.0
5,,season 2 lucid,,1.0,1.0,Lucid,"D,AN",,,1.0
6,,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
7,,season 2 lucid,,0.0,1.0,Lucid,CC,1.0,,
8,,season 2 lucid,,1.0,1.0,Lucid,D,0.0,,0.0
9,,season 2 lucid2,,1.0,1.0,Lucid,"CC,lay",,1.0,
10,,season 1,,1.0,0.0,Qualtrics S1,"D,AN",,,1.0
11,,season 2 lucid,,0.0,1.0,Lucid,CC,1.0,,
12,,season 2 lucid2,,1.0,1.0,Lucid,D,0.0,,0.0
13,,season 2 lucid,,1.0,1.0,Lucid,"D,AN",,,1.0
14,,season 2 qualtrics,,1.0,1.0,Qualtrics S2,"CC,lay",,1.0,
15,,season 2 lucid2,,1.0,1.0,Lucid,CC,1.0,0.0,
16,,season 1,,1.0,0.0,Qualtrics S1,"D,AN",,,1.0
17,,season 2 lucid2,,0.0,1.0,Lucid,CC,1.0,,
18,,season 2 qualtrics,,1.0,1.0,Qualtrics S2,"D,AN",,,1.0
19,,season 2 lucid,,1.0,1.0,Lucid,CC,1.0,0.0,
20,,season 2 lucid2,,1.0,1.0,Lucid,"CC,lay",,1.0,
21,,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
22,,season 2 lucid,,0.0,1.0,Lucid,D,0.0,,
23,,season 1,,1.0,0.0,Qualtrics S1,"CC,lay",,1.0,
24,,season 2 lucid,,1.0,1.0,Lucid,"CC,lay",,1.0,
25,,season 2 lucid2,,1.0,1.0,Lucid,"CC,lay",,1.0,
26,,season 2 cloudresearch,,1.0,1.0,CloudResearch/Facebook,"CC,lay",,1.0,
27,,season 1,,1.0,0.0,Qualtrics S1,D,0.0,,0.0
28,,season 2 lucid2,,1.0,1.0,Lucid,"CC,lay",,1.0,
29,,season 2 qualtrics,,1.0,1.0,Qualtrics S2,D,0.0,,0.0
30,,season 2 lucid,,1.0,1.0,Lucid,"D,AN",,,1.0
31,,season 2 lucid,,1.0,1.0,Lucid,D,0.0,,0.0
32,,season 2 lucid,,1.0,1.0,Lucid,D,0.0,,0.0
33,,season 1,,1.0,0.0,Qualtrics S1,D,0.0,,0.0
34,,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
35,,season 2 lucid,,1.0,1.0,Lucid,D,0.0,,0.0
36,,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
37,,season 2 lucid,,1.0,1.0,Lucid,"CC,lay",,1.0,
38,,season 2 qualtrics,,0.0,1.0,Qualtrics S2,CC,1.0,,
39,,season 2 qualtrics,,1.0,1.0,Qualtrics S2,"CC,lay",,1.0,
40,,season 2 lucid2,,1.0,1.0,Lucid,D,0.0,,0.0
41,,season 2 lucid2,,1.0,1.0,Lucid,"D,AN",,,1.0
42,,season 2 lucid,,1.0,1.0,Lucid,"CC,lay",,1.0,
43,,season 2 lucid,,1.0,1.0,Lucid,D,0.0,,0.0
44,,season 2 lucid,,1.0,1.0,Lucid,CC,1.0,0.0,
45,,season 2 lucid2,,1.0,1.0,Lucid,"CC,lay",,1.0,
46,,season 2 lucid,,0.0,1.0,Lucid,D,0.0,,
47,,season 2 cloudresearch,,0.0,1.0,CloudResearch/Facebook,D,0.0,,
48,,season 2 cloudresearch,,1.0,1.0,CloudResearch/Facebook,CC,1.0,0.0,
49,,season 2 cloudresearch,,1.0,1.0,CloudResearch/Facebook,D,0.0,,0.0
50,,season 2 lucid,,1.0,1.0,Lucid,"CC,lay",,1.0,
51,,season 2 lucid2,,1.0,1.0,Lucid,D,0.0,,0.0
52,,season 1,,1.0,0.0,Qualtrics S1,D,0.0,,0.0
53,,season 2 qualtrics,,1.0,1.0,Qualtrics S2,D,0.0,,0.0
54,,season 2 lucid2,,0.0,1.0,Lucid,CC,1.0,,
55,,season 1,,1.0,0.0,Qualtrics S1,CC,1.0,0.0,
56,,season 2 lucid2,,1.0,1.0,Lucid,"D,AN",,,1.0
57,,season 2 lucid,,1.0,1.0,Lucid,"D,AN",,,1.0
58,,season 1,,1.0,0.0,Qualtrics S1,CC,1.0,0.0,
59,,season 2 lucid2,,1.0,1.0,Lucid,CC,1.0,0.0,
60,,season 2 lucid2,,0.0,1.0,Lucid,CC,1.0,,
61,,season 2 lucid2,,1.0,1.0,Lucid,"CC,lay",,1.0,
62,,season 2 lucid,,0.0,1.0,Lucid,D,0.0,,
63,,season 2 lucid2,,0.0,1.0,Lucid,CC,1.0,,
64,,season 2 lucid,,1.0,1.0,Lucid,CC,1.0,0.0,
65,,season 2 lucid2,,1.0,1.0,Lucid,D,0.0,,0.0
66,,season 2 lucid2,,1.0,1.0,Lucid,CC,1.0,0.0,
67,,season 2 lucid2,,1.0,1.0,Lucid,D,0.0,,0.0
68,,season 2 lucid2,,1.0,1.0,Lucid,"CC,lay",,1.0,
69,,season 2 lucid2,,1.0,1.0,Lucid,D,0.0,,0.0
70,,season 2 lucid,,0.0,1.0,Lucid,D,0.0,,
71,,season 2 lucid,,1.0,1.0,Lucid,"D,AN",,,1.0
72,,season 2 lucid2,,1.0,1.0,Lucid,"CC,lay",,1.0,
73,,season 2 lucid,,1.0,1.0,Lucid,"CC,lay",,1.0,
74,,season 2 lucid,,1.0,1.0,Lucid,"D,AN",,,1.0
75,,season 2 lucid2,,1.0,1.0,Lucid,"D,AN",,,1.0
76,,season 2 lucid2,,1.0,1.0,Lucid,"D,AN",,,1.0
77,,season 2 lucid,,1.0,1.0,Lucid,D,0.0,,0.0
78,,season 2 lucid2,,0.0,1.0,Lucid,D,0.0,,
79,,season 2 lucid2,,1.0,1.0,Lucid,"D,AN",,,1.0
80,,season 2 lucid,,1.0,1.0,Lucid,D,0.0,,0.0
81,,season 2 lucid2,,1.0,1.0,Lucid,"D,AN",,,1.0
82,,season 2 cloudresearch,,1.0,1.0,CloudResearch/Facebook,"CC,lay",,1.0,
83,,season 2 lucid2,,0.0,1.0,Lucid,CC,1.0,,
84,,season 2 lucid2,,1.0,1.0,Lucid,"D,AN",,,1.0
85,,season 2 lucid2,,1.0,1.0,Lucid,CC,1.0,0.0,
86,,season 2 lucid,,1.0,1.0,Lucid,CC,1.0,0.0,
87,,season 1,,1.0,0.0,Qualtrics S1,"CC,lay",,1.0,
88,,season 1,,1.0,0.0,Qualtrics S1,CC,1.0,0.0,
89,,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
90,,season 2 lucid,,1.0,1.0,Lucid,"CC,lay",,1.0,
91,,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
92,,season 2 lucid,,0.0,1.0,Lucid,D,0.0,,
93,,season 2 lucid2,,0.0,1.0,Lucid,D,0.0,,
94,,season 2 qualtrics,,1.0,1.0,Qualtrics S2,"CC,lay",,1.0,
95,,season 2 cloudresearch,,1.0,1.0,CloudResearch/Facebook,CC,1.0,0.0,
96,,season 2 lucid2,,1.0,1.0,Lucid,CC,1.0,0.0,
97,,season 2 lucid2,,1.0,1.0,Lucid,CC,1.0,0.0,
98,,season 2 cloudresearch,,1.0,1.0,CloudResearch/Facebook,"CC,lay",,1.0,
99,,season 2 lucid2,,0.0,1.0,Lucid,D,0.0,,
100,,season 2 lucid2,,1.0,1.0,Lucid,CC,1.0,0.0,
101,,season 2 cloudresearch,,1.0,1.0,CloudResearch/Facebook,"D,AN",,,1.0
102,,season 2 lucid,,1.0,1.0,Lucid,CC,1.0,0.0,
103,,season 2 lucid,,0.0,1.0,Lucid,D,0.0,,
104,,season 2 lucid2,,1.0,1.0,Lucid,CC,1.0,0.0,
105,,season 2 lucid,,1.0,1.0,Lucid,"D,AN",,,1.0
106,,season 2 lucid,,1.0,1.0,Lucid,"CC,lay",,1.0,
107,,season 2 qualtrics,,1.0,1.0,Qualtrics S2,"CC,lay",,1.0,
108,,season 2 lucid2,,1.0,1.0,Lucid,"D,AN",,,1.0
109,,season 1,,1.0,0.0,Qualtrics S1,"D,AN",,,1.0
110,,season 2 lucid2,,0.0,1.0,Lucid,D,0.0,,
111,,season 2 lucid2,,1.0,1.0,Lucid,CC,1.0,0.0,
112,,season 1,,0.0,0.0,Qualtrics S1,CC,1.0,,
113,,season 2 lucid2,,0.0,1.0,Lucid,D,0.0,,
114,,season 2 lucid2,,1.0,1.0,Lucid,"D,AN",,,1.0
115,,season 1,,1.0,0.0,Qualtrics S1,D,0.0,,0.0
116,,season 2 qualtrics,,0.0,1.0,Qualtrics S2,CC,1.0,,
117,,season 2 lucid,,1.0,1.0,Lucid,CC,1.0,0.0,
118,,season 2 lucid,,0.0,1.0,Lucid,D,0.0,,
119,,season 2 qualtrics,,0.0,1.0,Qualtrics S2,CC,1.0,,
120,,season 2 lucid2,,1.0,1.0,Lucid,CC,1.0,0.0,
121,,season 2 lucid,,1.0,1.0,Lucid,D,0.0,,0.0
122,,season 2 lucid2,,1.0,1.0,Lucid,CC,1.0,0.0,
123,,season 2 cloudresearch,,1.0,1.0,CloudResearch/Facebook,"D,AN",,,1.0
124,,season 2 lucid2,,1.0,1.0,Lucid,"D,AN",,,1.0
125,,season 2 cloudresearch,,0.0,1.0,CloudResearch/Facebook,D,0.0,,
126,,season 2 lucid,,0.0,1.0,Lucid,D,0.0,,
127,,season 2 lucid2,,1.0,1.0,Lucid,"D,AN",,,1.0
128,,season 2 qualtrics,,0.0,1.0,Qualtrics S2,CC,1.0,,
129,,season 2 qualtrics,,0.0,1.0,Qualtrics S2,CC,1.0,,
130,,season 2 lucid,,1.0,1.0,Lucid,CC,1.0,0.0,
131,,season 2 cloudresearch,,1.0,1.0,CloudResearch/Facebook,D,0.0,,0.0
132,,season 2 lucid,,1.0,1.0,Lucid,"CC,lay",,1.0,
133,,season 2 lucid2,,1.0,1.0,Lucid,CC,1.0,0.0,
134,,season 2 qualtrics,,0.0,1.0,Qualtrics S2,D,0.0,,
135,,season 2 lucid,,1.0,1.0,Lucid,"D,AN",,,1.0
136,,season 2 lucid,,1.0,1.0,Lucid,CC,1.0,0.0,
137,,season 1,,0.0,0.0,Qualtrics S1,D,0.0,,
138,,season 2 lucid,,1.0,1.0,Lucid,D,0.0,,0.0
139,,season 2 lucid,,1.0,1.0,Lucid,"D,AN",,,1.0
140,,season 2 lucid,,1.0,1.0,Lucid,"D,AN",,,1.0
141,,season 2 lucid,,1.0,1.0,Lucid,"D,AN",,,1.0
142,,season 2 qualtrics,,0.0,1.0,Qualtrics S2,D,0.0,,
143,,season 2 lucid2,,1.0,1.0,Lucid,"CC,lay",,1.0,
144,,season 2 lucid,,0.0,1.0,Lucid,CC,1.0,,
145,,season 1,,1.0,0.0,Qualtrics S1,"CC,lay",,1.0,
146,,season 2 lucid,,0.0,1.0,Lucid,D,0.0,,
147,,season 2 lucid2,,1.0,1.0,Lucid,D,0.0,,0.0
148,,season 2 lucid,,1.0,1.0,Lucid,CC,1.0,0.0,
149,,season 2 lucid2,,1.0,1.0,Lucid,"D,AN",,,1.0
150,,season 2 lucid2,,1.0,1.0,Lucid,"CC,lay",,1.0,
151,,season 2 lucid,,0.0,1.0,Lucid,D,0.0,,
152,,season 2 lucid2,,1.0,1.0,Lucid,"CC,lay",,1.0,
153,,season 2 lucid2,,1.0,1.0,Lucid,"D,AN",,,1.0
154,,season 2 lucid,,1.0,1.0,Lucid,"CC,lay",,1.0,
155,,season 2 lucid,,1.0,1.0,Lucid,"D,AN",,,1.0
156,,season 1,,1.0,0.0,Qualtrics S1,CC,1.0,0.0,
157,,season 2 lucid2,,0.0,1.0,Lucid,D,0.0,,
158,,season 2 qualtrics,,0.0,1.0,Qualtrics S2,CC,1.0,,
159,,season 2 lucid,,1.0,1.0,Lucid,D,0.0,,0.0
160,,season 2 lucid2,,1.0,1.0,Lucid,D,0.0,,0.0
161,,season 2 lucid,,1.0,1.0,Lucid,CC,1.0,0.0,
162,,season 2 lucid2,,1.0,1.0,Lucid,"D,AN",,,1.0
163,,season 1,,1.0,0.0,Qualtrics S1,"D,AN",,,1.0
164,,season 2 qualtrics,,0.0,1.0,Qualtrics S2,CC,1.0,,
165,,season 2 lucid2,,1.0,1.0,Lucid,"D,AN",,,1.0
166,,season 1,,1.0,0.0,Qualtrics S1,CC,1.0,0.0,
167,,season 2 lucid,,1.0,1.0,Lucid,"D,AN",,,1.0
168,,season 2 qualtrics,,0.0,1.0,Qualtrics S2,D,0.0,,
169,,season 2 lucid2,,1.0,1.0,Lucid,"D,AN",,,1.0
170,,season 1,,1.0,0.0,Qualtrics S1,"D,AN",,,1.0
171,,season 1,,1.0,0.0,Qualtrics S1,"D,AN",,,1.0
172,,season 2 lucid,,0.0,1.0,Lucid,D,0.0,,
173,,season 2 qualtrics,,1.0,1.0,Qualtrics S2,"D,AN",,,1.0
174,,season 2 lucid2,,1.0,1.0,Lucid,D,0.0,,0.0
175,,season 2 lucid2,,1.0,1.0,Lucid,CC,1.0,0.0,
176,,season 2 lucid2,,1.0,1.0,Lucid,"CC,lay",,1.0,
177,,season 2 lucid,,1.0,1.0,Lucid,D,0.0,,0.0
178,,season 2 qualtrics,,0.0,1.0,Qualtrics S2,D,0.0,,
179,,season 2 lucid,,0.0,1.0,Lucid,D,0.0,,
180,,season 2 cloudresearch,,0.0,1.0,CloudResearch/Facebook,D,0.0,,
181,,season 2 qualtrics,,1.0,1.0,Qualtrics S2,CC,1.0,0.0,
182,,season 2 qualtrics,,1.0,1.0,Qualtrics S2,CC,1.0,0.0,
183,,season 2 lucid2,,1.0,1.0,Lucid,"D,AN",,,1.0
184,,season 2 lucid2,,1.0,1.0,Lucid,"CC,lay",,1.0,
185,,season 2 cloudresearch,,1.0,1.0,CloudResearch/Facebook,"D,AN",,,1.0
186,,season 2 lucid,,1.0,1.0,Lucid,D,0.0,,0.0
187,,season 2 qualtrics,,1.0,1.0,Qualtrics S2,D,0.0,,0.0
188,5.0,season 2 lucid,2.0,1.0,1.0,Lucid,"D,AN",,,1.0
189,6.0,season 1,,1.0,0.0,Qualtrics S1,D,0.0,,0.0
190,5.0,season 1,,1.0,0.0,Qualtrics S1,D,0.0,,0.0
191,5.0,season 1,,1.0,0.0,Qualtrics S1,"CC,lay",,1.0,
192,6.0,season 1,,1.0,0.0,Qualtrics S1,"D,AN",,,1.0
193,5.0,season 2 lucid,1.0,0.0,1.0,Lucid,D,0.0,,
194,6.0,season 2 cloudresearch,2.0,1.0,1.0,CloudResearch/Facebook,"CC,lay",,1.0,
195,6.0,season 2 cloudresearch,2.0,1.0,1.0,CloudResearch/Facebook,CC,1.0,0.0,
196,6.0,season 2 qualtrics,2.0,0.0,1.0,Qualtrics S2,D,0.0,,
197,5.0,season 2 qualtrics,1.0,0.0,1.0,Qualtrics S2,D,0.0,,
198,6.0,season 2 lucid,2.0,1.0,1.0,Lucid,"D,AN",,,1.0
199,6.0,season 2 lucid2,2.0,1.0,1.0,Lucid,"CC,lay",,1.0,
200,6.0,season 2 lucid2,2.0,1.0,1.0,Lucid,"D,AN",,,1.0
201,,season 1,,1.0,0.0,Qualtrics S1,"CC,lay",,1.0,
202,5.0,season 2 cloudresearch,2.0,0.0,1.0,CloudResearch/Facebook,CC,1.0,,
203,5.0,season 2 cloudresearch,1.0,0.0,1.0,CloudResearch/Facebook,CC,1.0,,
204,6.0,season 2 lucid,1.0,0.0,1.0,Lucid,CC,1.0,,
205,5.0,season 1,,1.0,0.0,Qualtrics S1,"CC,lay",,1.0,
206,,season 2 lucid2,,1.0,1.0,Lucid,"CC,lay",,1.0,
207,6.0,season 1,,1.0,0.0,Qualtrics S1,CC,1.0,0.0,
208,5.0,season 2 cloudresearch,1.0,1.0,1.0,CloudResearch/Facebook,"D,AN",,,1.0
